id,MsgSvrID,type_name,is_sender,talker,room_name,msg,src,CreateTime
1,3819472867302577885,系统通知,0,wxid_uvftx4kus4s122,wxid_uvftx4kus4s122,You have added l. as your Weixin contact. Start chatting!,,2024-08-31 22:01:15
2,5848455765956994521,语音,1,wxid_q454azbavsa321,wxid_uvftx4kus4s122,"语音时长：9.26秒
翻译结果：那个咱们外联部就你们三个人，然后一个部长，两个副部长，你们内部自己决定一下，然后回头把结果告诉我就。",wxid_uvftx4kus4s122\2024-09-03_12-32-27_1_5848455765956994521.wav,2024-09-03 12:32:27
3,1290555010205739678,动画表情,0,wxid_uvftx4kus4s122,wxid_uvftx4kus4s122,表情,http://wxapp.tc.qq.com/262/20304/stodownload?m=5fe3946a572763d1e1e63979cf0d3a62&filekey=30340201010420301e020201060402535a04105fe3946a572763d1e1e63979cf0d3a62020219d0040d00000004627466730000000131&hy=SZ&storeid=32303231303632353230353031393030303364643936343463393633643466613465356630393030303030313036&bizid=1023,2024-09-03 12:36:30
4,7113404199822207058,文本,0,wxid_uvftx4kus4s122,wxid_uvftx4kus4s122,"部长：林禹涵
副部长：罗煚  黄茜",,2024-09-03 13:59:01
5,476828421277449354,文本,1,wxid_q454azbavsa321,wxid_uvftx4kus4s122,好,,2024-09-03 13:59:06
6,3467624108135854921,文本,1,wxid_q454azbavsa321,wxid_uvftx4kus4s122,你们有西服嘛,,2024-09-03 14:01:17
7,5790391191622870538,文本,0,wxid_uvftx4kus4s122,wxid_uvftx4kus4s122,我没有,,2024-09-03 14:01:39
8,3898183098824189646,文本,1,wxid_q454azbavsa321,wxid_uvftx4kus4s122,行,,2024-09-03 14:01:51
9,8623981162482990233,文本,0,wxid_uvftx4kus4s122,wxid_uvftx4kus4s122,一定要穿西服吗,,2024-09-03 14:01:57
10,8227039308950643407,文本,1,wxid_q454azbavsa321,wxid_uvftx4kus4s122,最好穿,,2024-09-03 14:02:06
11,1541737095526904360,文本,0,wxid_uvftx4kus4s122,wxid_uvftx4kus4s122,行 那我去问问黄茜,,2024-09-03 14:02:19
12,3165841135261719375,文本,1,wxid_q454azbavsa321,wxid_uvftx4kus4s122,但是穿的正式一点也行,,2024-09-03 14:02:20
13,3824503009256852533,文本,1,wxid_q454azbavsa321,wxid_uvftx4kus4s122,实在没有就算了,,2024-09-03 14:02:30
14,3273668241438737364,动画表情,0,wxid_uvftx4kus4s122,wxid_uvftx4kus4s122,表情,http://wxapp.tc.qq.com/262/20304/stodownload?m=5fe3946a572763d1e1e63979cf0d3a62&filekey=30340201010420301e020201060402535a04105fe3946a572763d1e1e63979cf0d3a62020219d0040d00000004627466730000000131&hy=SZ&storeid=32303231303632353230353031393030303364643936343463393633643466613465356630393030303030313036&bizid=1023,2024-09-03 14:02:46
15,8494456447090079901,文本,1,wxid_q454azbavsa321,wxid_uvftx4kus4s122,hihi,,2024-09-04 16:55:48
16,5331328470066692166,系统通知,1,wxid_q454azbavsa321,wxid_uvftx4kus4s122,<revokemsg>You recalled a message</revokemsg>,,2024-09-04 16:55:54
